Английский язык,Алматы облысы,№15 гимназия (Алматы облысы),8.84
Английский язык,Алматы облысы,№7 мектеп-лицей (Алматы облысы),8.81
Английский язык,Астана қ.,№10 орта мектеп (Астана қ.),8.96
Английский язык,Астана қ.,№15 гимназия (Астана қ.),8.6
Английский язык,Астана қ.,№1 мектеп-гимназия (Астана қ.),8.51
Английский язык,Астана қ.,№2 жалпы білім беретін мектеп (Астана қ.),8.51
Английский язык,Астана қ.,№7 мектеп-лицей (Астана қ.),8.96
Английский язык,Қарағанды облысы,№2 жалпы білім беретін мектеп (Қарағанды облысы),8.87
Английский язык,Қарағанды облысы,№30 жалпы орта мектеп (Қарағанды облысы),8.58
Английский язык,Қарағанды облысы,№5 лицей (Қарағанды облысы),9.05
Английский язык,Қарағанды облысы,№7 мектеп-лицей (Қарағанды облысы),8.81
Английский язык,Түркістан облысы,№10 орта мектеп (Түркістан облысы),8.66
Английский язык,Түркістан облысы,№15 гимназия (Түркістан облысы),8.64
Английский язык,Түркістан облысы,№30 жалпы орта мектеп (Түркістан облысы),8.48
Английский язык,Түркістан облысы,№5 лицей (Түркістан облысы),8.62
Английский язык,Түркістан облысы,№7 мектеп-лицей (Түркістан облысы),8.71
Биология,Алматы облысы,№15 гимназия (Алматы облысы),8.56
Биология,Алматы облысы,№7 мектеп-лицей (Алматы облысы),8.71
Биология,Астана қ.,№10 орта мектеп (Астана қ.),8.84
Биология,Астана қ.,№15 гимназия (Астана қ.),8.59
Биология,Астана қ.,№1 мектеп-гимназия (Астана қ.),8.63
Биология,Астана қ.,№2 жалпы білім беретін мектеп (Астана қ.),8.64
Биология,Астана қ.,№7 мектеп-лицей (Астана қ.),8.92
Биология,Қарағанды облысы,№2 жалпы білім беретін мектеп (Қарағанды облысы),8.6
Биология,Қарағанды облысы,№30 жалпы орта мектеп (Қарағанды облысы),8.75
Биология,Қарағанды облысы,№5 лицей (Қарағанды облысы),8.86
Биология,Қарағанды облысы,№7 мектеп-лицей (Қарағанды облысы),8.76
Биология,Түркістан облысы,№10 орта мектеп (Түркістан облысы),8.79
Биология,Түркістан облысы,№15 гимназия (Түркістан облысы),8.55
Биология,Түркістан облысы,№30 жалпы орта мектеп (Түркістан облысы),8.69
Биология,Түркістан облысы,№5 лицей (Түркістан облысы),8.68
Биология,Түркістан облысы,№7 мектеп-лицей (Түркістан облысы),8.74
Информатика,Алматы облысы,№15 гимназия (Алматы облысы),8.73
Информатика,Алматы облысы,№7 мектеп-лицей (Алматы облысы),8.72
Информатика,Астана қ.,№10 орта мектеп (Астана қ.),8.69
Информатика,Астана қ.,№15 гимназия (Астана қ.),8.7
Информатика,Астана қ.,№1 мектеп-гимназия (Астана қ.),8.58
Информатика,Астана қ.,№2 жалпы білім беретін мектеп (Астана қ.),8.77
Информатика,Астана қ.,№7 мектеп-лицей (Астана қ.),8.81
Информатика,Қарағанды облысы,№2 жалпы білім беретін мектеп (Қарағанды облысы),8.89
Информатика,Қарағанды облысы,№30 жалпы орта мектеп (Қарағанды облысы),8.78
Информатика,Қарағанды облысы,№5 лицей (Қарағанды облысы),8.74
Информатика,Қарағанды облысы,№7 мектеп-лицей (Қарағанды облысы),8.73
Информатика,Түркістан облысы,№10 орта мектеп (Түркістан облысы),8.62
Информатика,Түркістан облысы,№15 гимназия (Түркістан облысы),8.92
Информатика,Түркістан облысы,№30 жалпы орта мектеп (Түркістан облысы),8.74
Информатика,Түркістан облысы,№5 лицей (Түркістан облысы),8.77
Информатика,Түркістан облысы,№7 мектеп-лицей (Түркістан облысы),8.96
История Казахстана,Алматы облысы,№15 гимназия (Алматы облысы),8.71
История Казахстана,Алматы облысы,№7 мектеп-лицей (Алматы облысы),8.64
История Казахстана,Астана қ.,№10 орта мектеп (Астана қ.),9.03
История Казахстана,Астана қ.,№15 гимназия (Астана қ.),8.67
История Казахстана,Астана қ.,№1 мектеп-гимназия (Астана қ.),8.87
История Казахстана,Астана қ.,№2 жалпы білім беретін мектеп (Астана қ.),8.64
История Казахстана,Астана қ.,№7 мектеп-лицей (Астана қ.),8.76
История Казахстана,Қарағанды облысы,№2 жалпы білім беретін мектеп (Қарағанды облысы),8.73
История Казахстана,Қарағанды облысы,№30 жалпы орта мектеп (Қарағанды облысы),8.57
История Казахстана,Қарағанды облысы,№5 лицей (Қарағанды облысы),8.69
История Казахстана,Қарағанды облысы,№7 мектеп-лицей (Қарағанды облысы),8.74
История Казахстана,Түркістан облысы,№10 орта мектеп (Түркістан облысы),8.82
История Казахстана,Түркістан облысы,№15 гимназия (Түркістан облысы),8.9
История Казахстана,Түркістан облысы,№30 жалпы орта мектеп (Түркістан облысы),8.6
История Казахстана,Түркістан облысы,№5 лицей (Түркістан облысы),8.7
