Алматы облысы,Алматы облысы - Аудандық бөлім,1011,№15 гимназия (Алматы облысы),regular,city,kk
Алматы облысы,Алматы облысы - Аудандық бөлім,1012,№7 мектеп-лицей (Алматы облысы),regular,village,kk_ru
Алматы облысы,Алматы облысы - Білім басқармасы,1014,№7 мектеп-лицей (Алматы облысы),lyceum,city,ru
Алматы облысы,Алматы облысы - Білім басқармасы,1013,№7 мектеп-лицей (Алматы облысы),lyceum,village,kk_ru
Алматы облысы,Алматы облысы - Қалалық бөлім,1009,№7 мектеп-лицей (Алматы облысы),lyceum,village,kk_ru
Алматы облысы,Алматы облысы - Қалалық бөлім,1010,№7 мектеп-лицей (Алматы облысы),gymnasium,city,ru
Астана қ.,Астана қ. - Аудандық бөлім,1004,№10 орта мектеп (Астана қ.),regular,city,kk_ru
Астана қ.,Астана қ. - Аудандық бөлім,1005,№15 гимназия (Астана қ.),regular,city,ru
Астана қ.,Астана қ. - Аудандық бөлім,1006,№1 мектеп-гимназия (Астана қ.),lyceum,village,kk
Астана қ.,Астана қ. - Білім басқармасы,1007,№15 гимназия (Астана қ.),lyceum,city,kk
Астана қ.,Астана қ. - Білім басқармасы,1008,№7 мектеп-лицей (Астана қ.),gymnasium,city,ru
Астана қ.,Астана қ. - Қалалық бөлім,1003,№1 мектеп-гимназия (Астана қ.),lyceum,city,kk_ru
Астана қ.,Астана қ. - Қалалық бөлім,1002,№2 жалпы білім беретін мектеп (Астана қ.),regular,village,kk
Астана қ.,Астана қ. - Қалалық бөлім,1001,№2 жалпы білім беретін мектеп (Астана қ.),lyceum,city,ru
Қарағанды облысы,Қарағанды облысы - Аудандық бөлім,1025,№7 мектеп-лицей (Қарағанды облысы),regular,city,kk_ru
Қарағанды облысы,Қарағанды облысы - Аудандық бөлім,1024,№7 мектеп-лицей (Қарағанды облысы),regular,city,ru
Қарағанды облысы,Қарағанды облысы - Білім басқармасы,1026,№2 жалпы білім беретін мектеп (Қарағанды облысы),gymnasium,city,kk_ru
Қарағанды облысы,Қарағанды облысы - Білім басқармасы,1027,№30 жалпы орта мектеп (Қарағанды облысы),gymnasium,city,ru
Қарағанды облысы,Қарағанды облысы - Қалалық бөлім,1022,№5 лицей (Қарағанды облысы),lyceum,village,kk
Қарағанды облысы,Қарағанды облысы - Қалалық бөлім,1023,№7 мектеп-лицей (Қарағанды облысы),gymnasium,village,kk_ru
Түркістан облысы,Түркістан облысы - Аудандық бөлім,1019,№5 лицей (Түркістан облысы),regular,village,kk_ru
Түркістан облысы,Түркістан облысы - Аудандық бөлім,1018,№5 лицей (Түркістан облысы),lyceum,city,ru
Түркістан облысы,Түркістан облысы - Білім басқармасы,1020,№30 жалпы орта мектеп (Түркістан облысы),regular,city,ru
Түркістан облысы,Түркістан облысы - Білім басқармасы,1021,№7 мектеп-лицей (Түркістан облысы),regular,city,kk_ru
Түркістан облысы,Түркістан облысы - Қалалық бөлім,1016,№10 орта мектеп (Түркістан облысы),lyceum,city,kk_ru
Түркістан облысы,Түркістан облысы - Қалалық бөлім,1017,№15 гимназия (Түркістан облысы),gymnasium,city,ru
Түркістан облысы,Түркістан облысы - Қалалық бөлім,1015,№5 лицей (Түркістан облысы),lyceum,village,kk
