Алматы облысы,№15 гимназия (Алматы облысы),5 А,12
Алматы облысы,№15 гимназия (Алматы облысы),5 Б,21
Алматы облысы,№15 гимназия (Алматы облысы),6 А,19
Алматы облысы,№15 гимназия (Алматы облысы),6 Б,19
Алматы облысы,№15 гимназия (Алматы облысы),7 А,15
Алматы облысы,№15 гимназия (Алматы облысы),7 Б,13
Алматы облысы,№15 гимназия (Алматы облысы),8 А,17
Алматы облысы,№15 гимназия (Алматы облысы),8 Б,20
Алматы облысы,№15 гимназия (Алматы облысы),9 А,21
Алматы облысы,№15 гимназия (Алматы облысы),9 Б,15
Алматы облысы,№15 гимназия (Алматы облысы),10 А,22
Алматы облысы,№15 гимназия (Алматы облысы),10 Б,21
Алматы облысы,№15 гимназия (Алматы облысы),11 А,16
Алматы облысы,№15 гимназия (Алматы облысы),11 Б,18
Алматы облысы,№7 мектеп-лицей (Алматы облысы),5 А,92
Алматы облысы,№7 мектеп-лицей (Алматы облысы),5 Б,78
Алматы облысы,№7 мектеп-лицей (Алматы облысы),5 В,18
Алматы облысы,№7 мектеп-лицей (Алматы облысы),6 А,82
Алматы облысы,№7 мектеп-лицей (Алматы облысы),6 Б,84
Алматы облысы,№7 мектеп-лицей (Алматы облысы),6 В,52
Алматы облысы,№7 мектеп-лицей (Алматы облысы),7 А,90
Алматы облысы,№7 мектеп-лицей (Алматы облысы),7 Б,78
Алматы облысы,№7 мектеп-лицей (Алматы облысы),7 В,22
Алматы облысы,№7 мектеп-лицей (Алматы облысы),8 А,106
Алматы облысы,№7 мектеп-лицей (Алматы облысы),8 Б,74
Алматы облысы,№7 мектеп-лицей (Алматы облысы),8 В,60
Алматы облысы,№7 мектеп-лицей (Алматы облысы),9 А,88
Алматы облысы,№7 мектеп-лицей (Алматы облысы),9 Б,82
Алматы облысы,№7 мектеп-лицей (Алматы облысы),9 В,14
Алматы облысы,№7 мектеп-лицей (Алматы облысы),10 А,82
Алматы облысы,№7 мектеп-лицей (Алматы облысы),10 Б,95
Алматы облысы,№7 мектеп-лицей (Алматы облысы),10 В,37
Алматы облысы,№7 мектеп-лицей (Алматы облысы),11 А,82
Алматы облысы,№7 мектеп-лицей (Алматы облысы),11 Б,82
Алматы облысы,№7 мектеп-лицей (Алматы облысы),11 В,13
Астана қ.,№10 орта мектеп (Астана қ.),5 А,13
Астана қ.,№10 орта мектеп (Астана қ.),5 Б,17
Астана қ.,№10 орта мектеп (Астана қ.),6 А,13
Астана қ.,№10 орта мектеп (Астана қ.),6 Б,16
Астана қ.,№10 орта мектеп (Астана қ.),7 А,21
Астана қ.,№10 орта мектеп (Астана қ.),7 Б,21
Астана қ.,№10 орта мектеп (Астана қ.),8 А,20
Астана қ.,№10 орта мектеп (Астана қ.),8 Б,15
